"","species","X","Y","presence","pca_1","pca_2","pca_3","pca_4","pca_5","pca_6","PCNM1","PCNM2","PCNM3","PCNM4","PCNM5","PCNM6","PCNM7","PCNM8","PCNM9","PCNM10","PCNM11","PCNM12","PCNM13","PCNM14","PCNM15","PCNM16"
"197","clarkii",-97.787835,30.465466,1,0.79816460609436,-0.0848856568336487,-0.254461348056793,0.0739569813013077,-0.881322145462036,-0.142863184213638,-0.0354618125823885,-0.0504584712430418,-0.00234825597948377,0.114164280446407,-0.00936722239571904,0.000542030930270592,-0.067152860211466,-0.0223346054329501,0.0261920568584381,0.0551414349865742,0.0568852756329569,0.0203636684363129,0.0325620890855543,-0.00174478960966308,0.0393614588022438,-0.0116225237847054
"204","clarkii",-97.800315,30.459147,1,0.956882178783417,-0.0810793712735176,-0.376911848783493,-0.0332618206739426,-0.542191863059998,-0.178629726171494,-0.035242061568296,-0.0505431534314648,-0.00239356268874703,0.114354814575816,-0.00959733033559285,0.00047328963102602,-0.067365269653918,-0.0222829978924547,0.0263060789185353,0.054985449618051,0.0569873209246905,0.0205293551172467,0.0326461349471648,-0.00128187354166652,0.0393052922739738,-0.0115830182089047
"207","clarkii",-97.802197,30.648986,1,0.664775669574738,-0.657297015190125,-0.157520577311516,0.00484897149726748,-0.333591252565384,-0.168807491660118,-0.098795037840944,-0.0418781218330789,0.0197016228056939,-0.0727331194831986,-0.130072730606605,0.0202254289428242,0.099399808443077,0.0315668905182943,0.0294785828239061,-0.112782465909911,0.00528180664674611,-0.0511529011867784,0.272531761131419,-0.114369083332169,-0.0165306196454484,0.0570662538879564
"208","clarkii",-97.810021,30.163144,1,1.381800532341,-0.00285757193341851,0.432415068149567,-0.297578424215317,-0.275636434555054,-0.076373964548111,0.0248404822591914,-0.0400165541225255,0.068142270530908,-0.0474824880209988,0.140059880128087,-0.0471582231864056,0.139820858950369,-0.0615354055734285,0.0140635282619057,0.0234090611114411,0.0678829858759858,0.0510238404093822,-0.000991912126808563,0.0214896872184699,-0.0417135527441216,-0.0938874350965824
"217","clarkii",-97.824777,30.697912,1,0.540147125720978,-0.29603186249733,-0.418006598949432,-0.0887262225151062,-0.433007270097733,0.104820147156715,-0.132917129625494,-0.0275974950210173,-0.0537071931127716,-0.108078180159972,0.0187453082158091,-0.035273958814532,-0.00958941337911643,-0.0975388867251107,0.304029052611532,-0.13164898989846,-0.187924813505909,0.0851086780424199,0.155791163050837,0.0413369362254928,0.112146622061029,-0.0894707491025249
"225","clarkii",-97.833434,30.54145,1,0.749335050582886,-0.358713418245316,-0.38395282626152,-0.0535154715180397,-0.584263563156128,-0.116589121520519,-0.0686866777427755,-0.047827469318295,0.00331107283602021,0.0285415678655637,-0.145436245639543,-0.0366887903427118,0.135545598706849,-0.0143647498288684,0.0063874097742107,0.0856765403084294,-0.0999384957857972,0.0691886134462306,-0.164805621489071,-0.0209991424973478,0.0159059693478347,-0.0245559428040743
"233","clarkii",-97.847862,30.463087,1,0.563289880752563,-0.46857762336731,-0.0325697809457779,0.595073878765106,-0.589708626270294,-0.175693109631538,-0.034860156533315,-0.0506862535290919,-0.00334904816799064,0.114702381429452,-0.0104567045095027,0.000382444763221518,-0.0676302293715596,-0.0219256968524776,0.0272700655444018,0.0541775077301905,0.0573683557361755,0.0208289526292975,0.0327639428433793,0.000321797981853031,0.0390044492412467,-0.011444524830439
"236","clarkii",-97.850159,30.169329,1,1.27729332447052,-0.224068611860275,0.397819668054581,-0.0380108840763569,-0.147834911942482,-0.126308619976044,0.0252687622864893,-0.0401312840249041,0.0674888608943679,-0.0476714372946449,0.139803928362736,-0.0473917021076861,0.140272051774137,-0.0613486904114701,0.014913279044436,0.0225395003150509,0.0682128676798029,0.051247274714594,-0.00106224080086598,0.0228782785141462,-0.0423449789233061,-0.0941694250750907
"238","clarkii",-97.861725,30.364408,1,0.970036327838898,-0.599773168563843,0.747883439064026,-0.0156947355717421,-0.773052573204041,-0.0611707381904125,-0.0200332485353868,-0.0485267105154513,-0.0194143669502723,0.083230728873431,0.0335286310945687,-0.0191881938441875,-0.0378962426872205,0.00259478789571312,-0.0701066765583176,-0.142811238476722,-0.0884494417328474,-0.0648330726160624,-0.0340724076899603,-0.0165421145895817,-0.0922048966187752,-0.0778026354534359
"239","clarkii",-97.870881,30.618306,1,0.460378915071487,-0.28504478931427,-0.582783341407776,0.0111137423664331,-0.664989173412323,-0.0123469838872552,-0.0780117186331955,-0.045805613009844,-0.0153732379836979,0.00425717225105226,-0.156030655872468,-0.0582866238764645,0.169373624254913,-0.0540794594304694,0.0567203928752465,-0.0210215527941168,0.0734678093437768,-0.0783116917721771,-0.0319583202402872,0.0637329835571048,-0.163455746548407,0.121858027289112
